railroad,incdtno,year,month,day,timehr,timemin,ampm,type,carshzd,station,state,temp,visiblty,weather,trnspd,typspd,tons,trkclas,typtrk,loadf1,emptyf1,cause,acctrk,acctrkcl,highspd,accdmg,stcnty,totinj,totkld,enghr,cdtrhr,jointcd,region,year4,county,cntycd,narr1,narr2,narr3,latitude,longitud
BNSF,RD0320121,20,3,20,5,37,PM,1,0,TENAHA,48,62,3.0,2.0,6,R,16213,1,4.0,115,0,T111,4.0,1,6,15200,48C419,0,0,7.0,7.0,1,5,2020,SHELBY,419,G-WAVTNH9-18 DERAILED 9 RAILCARS WHILE PULLING INTO INDUSTRY TRACK 3211 DUE TO TRACK WIDE GAGE.  NO,HAZARDOUS MATERIALS WERE RELEASED.,,31.942114,-94.283852
UP,0420HO006,20,4,8,9,22,AM,12,0,SPRING,48,76,2.0,2.0,0,E,140,1,2.0,1,0,H312,2.0,1,9,50789,48C201,0,0,,,3,5,2020,HARRIS,201,LHR05R-08 WAS SWITCHING ON THE NORTH CLASS YARD LEAD WHEN THEY DERAILED THREE CARS IN CLASS TRACK 6,AT LLOYD YARD.  CREW FIRST KICKED A CAR INTO TRACK 6 AT APPROXIMATELY 5-6 MPH.  THE CAR DID NOT ROLL,ALL THE WAY INTO TRACK 6 AND STALLED ON THE CURVE.  THE CREW THEN KICKED TWO CARS INTO TRACK 4.  TH,30.063347,-95.41197
UP,0420HO012,20,4,10,5,13,PM,1,0,HOUSTON,48,76,2.0,2.0,15,R,8953,2,2.0,44,102,T101,2.0,2,15,434302,48C201,0,0,2.0,2.0,1,5,2020,HARRIS,201,MWCLI-06 TRAVELING THRU THE CREOSOTE TRACK (TRACK 160 BYPASS) EXPERIENCED A UDE.  CONDUCTOR FOUND 5,CARS DERAILED.  BAD TRACK ALIGNMENT CAUSED WORN RAIL AND JOINTS.,,29.788318,-95.314506
PTRA,2020000007,20,4,30,10,25,AM,1,0,HOUSTON,48,74,2.0,1.0,10,R,3738,2,1.0,21,31,H525,1.0,2,10,25000,48C201,0,0,2.0,2.0,1,5,2020,HARRIS,201,CREW WAS DELIVERING 52 CAR TRAIN (21 LOADS/31 EMPTIES) TO NORTH YAD FROM MANCHESTER YAD. AS TRAIN AP,"PROACHED SA001, IT WAS NOTED BY CREW THAT THEY HAD A STOP INDICATION. ENGINEER MADE SEVERAL BRAKE PI","PE REDUCTIONS AND SLOWED TRAIN. AFTER COMING TO A MOMENTARY STOP, SIGNAL ASPECT CHANGED AND ENGINEER",29.721488,-95.281151
BNSF,KS1120115,20,11,30,1,30,AM,1,0,DUMAS,48,28,4.0,1.0,6,R,15762,1,2.0,115,0,H312,2.0,1,6,34340,48C341,0,0,3.0,3.0,2,5,2020,MOORE,341,G-ETTCPA9-29 DERAILED 1 LOCOMOTIVE AND 2 RAILCARS WHILE SHOVING YARD TRACK 4505 DUE TO PASSED COUPLE,RS OTHER THAT AUTOMATED CLASSIFICATION.  NO HAZARDOUS MATERIALS WERE RELEASED.,,36.023582,-101.996023
UP,1120GC001,20,11,2,9,2,AM,1,0,BEAUMONT,48,58,2.0,2.0,5,E,5106,1,2.0,30,48,M409,2.0,1,5,54406,48C245,0,0,11.0,11.0,1,5,2020,JEFFERSON,245,THE CONDUCTOR WAS RIDING THE SHOVE ON THE MLIHO-01 WHEN HE SET OUT INTO TRACK 205 ON THE WEST END OF,"BEAUMONT YARD. HE WAS ENTERING THE BODY OF TRACK 205, WHEN IT WAS DISCOVERED THAT THEY HAD DERAILED","EMPTY RAILCARS FBOX506325, ECUX844645, NDYX872066, AND UTLX900544 UPRIGHT AND WAS INSTRUCTED TO STO",30.072154,-94.157116
BNSF,RD0820112,20,8,10,8,20,PM,1,0,CLEBURNE,48,92,3.0,1.0,8,E,9169,1,2.0,0,2,H503,2.0,1,8,72530,48C251,0,0,2.0,2.0,1,5,2020,JOHNSON,251,"R-RDV0131-10 DERAILED 2 RAILCARS WHILE SHOVING YARD TRACK 2106 DUE TO EXCESSIVE BUFFING ACTION, TRAI",N HANDLING. NO HAZARDOUS MATERIALS WERE RELEASED.,,32.353229,-97.382633
UP,1120GC025,20,11,18,6,40,AM,12,0,BEAUMONT,48,50,1.0,1.0,2,E,48,1,2.0,0,1,H317,2.0,1,4,38246,48C245,0,0,,,1,5,2020,JEFFERSON,245,"THE YBM31R-17 HAD A HOLD OF A CUT OF 51 CARS AD WHILE HUMPING LINES 37-40, THERE WAS A COLLISION (SI",DESWIPE) BETWEEN TWO CARS IN THE BOWL.  ONE IN BOWL TRACK 16 AND THE OTHER IN BOWL TRACK 15.  WHILE,HUMPING THE TWO CARS INTO TRACK 15 THE SWITCHMAN AND FOREMAN CONTINUED TO KEEP HUMPING ONE CAR INTO,30.072902,-94.147132
BNSF,RD1120110,20,11,14,7,17,PM,1,0,TOMBALL,48,77,3.0,1.0,10,E,12155,1,3.0,85,0,E64C,3.0,1,10,317015,48C201,0,0,6.0,6.0,1,5,2020,HARRIS,201,U-THOORRO-11 DERAILED 5 RAILCARS WHILE PULLING INTO SIDING TRACK 7597 DUE TO A WORN FLANGE ON RAILCA,R.  NO HAZARDOUS MATERIALS WERE RELEASED. BOX #30: SUPPLEMENT CODE- Z OTHER DESCRIBE IN NARRATIVE; R,ESTRICTED SPEED OR EQUIVALENT.,30.055613,-95.589337
BNSF,RD1120112,20,11,16,9,50,PM,1,0,CLEBURNE,48,55,4.0,1.0,0,E,4598,1,2.0,25,36,H504,2.0,1,8,544458,48C251,0,0,,,3,5,2020,JOHNSON,251,R-RDV0131-16 DERAILED 6 RAILCARS WHILE SHOVING YARD TRACK 2102.  THE DERAILED RAILCARS IN TURN IMPAC,TED RAILCARS IN ADJACENT TRACK DERAILING AN ADDITIONAL 2 RAILCARS.  CAUSE WAS DUE TO EXCESSIVE SLACK,ACTION.  NO HAZARDOUS MATERIALS WERE RELEASED.,32.35175,-97.382456
BNSF,RD1120112,20,11,16,9,50,PM,1,0,CLEBURNE,48,55,4.0,1.0,8,E,11792,1,2.0,81,50,H504,2.0,1,8,544458,48C251,0,0,3.0,3.0,1,5,2020,JOHNSON,251,R-RDV0131-16 DERAILED 6 RAILCARS WHILE SHOVING YARD TRACK 2102.  THE DERAILED RAILCARS IN TURN IMPAC,TED RAILCARS IN ADJACENT TRACK DERAILING AN ADDITIONAL 2 RAILCARS.  CAUSE WAS DUE TO EXCESSIVE SLACK,ACTION.  NO HAZARDOUS MATERIALS WERE RELEASED.,32.35175,-97.382456
BNSF,RD1120124,20,11,24,7,0,PM,1,0,FORT WORTH,48,50,3.0,3.0,3,E,0,1,2.0,0,0,H607,2.0,1,3,15000,48C439,0,0,,3.0,1,5,2020,TARRANT,439,RCO Y-NYF2102-24 DERAILED 1 LOCOMOTIVE IN YARD TRACK 9121 WHILE OPERATING LIGHT ENGINES.   AFTER PUL,"LING THROUGH AND IMPROPERLY LINED SWITCH, SUBSEQUENTLY DERAILED UPON CHANGING DIRECTIONS. CAUSE IS F",AILURE TO COMPLY WITH RESTRICTED SPEED IN TURN RUNNING THROUGH AN IMPROPERLY LINED SWITCH. NO HAZARD,32.820369,-97.328775
ATK,165904,20,11,25,5,2,PM,7,0,HOUSTON,48,72,3.0,1.0,30,E,0,4,1.0,0,0,M304,1.0,5,30,20677,48C201,1,1,2.0,2.0,2,5,2020,HARRIS,201,GRADE CROSSING: TRAIN 1(24) WITH E/74 AND E/4 AND 7 CARS WAS DELAYED 312` WHEN IT STUCK AN SUV AT MP,346.04 ON THE UPRR LAFAYETTE SUBDIVISION.,,29.8682,-95.12819
UP,0620TO008,20,6,4,12,45,PM,12,0,DALLAS,48,89,2.0,2.0,10,E,386,1,2.0,0,6,H021,2.0,1,10,32706,48C113,0,0,,,1,5,2020,DALLAS,113,"YMY16R-4, WHILE PULLING TRACK 7 SOUTHWARD, CARS IN TRACK 6 BEGAN TO ROLL FREELY.  BRAKES HAD BEEN RE",LEASED FROM CARS IN TRACK 6 AND RESULTED IN LOCOMOTIVE AND 6 CARS BEING SIDESWIPED AND 1 CAR DERAILI,NG.,32.710549,-96.74807
BNSF,KS0820101,20,8,4,10,0,PM,4,0,AMARILLO,48,91,4.0,1.0,0,E,1375,1,2.0,8,15,H306,2.0,1,5,22929,48C375,0,0,,6.0,3,5,2020,POTTER,375,Y-AMA2012-04A SHOVED THE END OF THEIR CARS INTO THE THE SIDE OF A CAR ON Y-AMA2022-04A WHICH WAS ON,"THE LEAD DUE TO SHOVING MOVEMENT, ABSENCE OF MAN ON OR AT LEADING END OF MOVEMENT.  DERAILED 1 RAIL",CAR. NO HAZMAT RELEASED.,35.187282,-101.833263
BNSF,KS0820101,20,8,4,10,0,PM,4,0,AMARILLO,48,91,4.0,1.0,5,E,2981,1,2.0,19,27,H306,2.0,1,5,22929,48C375,0,0,,6.0,1,5,2020,POTTER,375,Y-AMA2012-04A SHOVED THE END OF THEIR CARS INTO THE THE SIDE OF A CAR ON Y-AMA2022-04A WHICH WAS ON,"THE LEAD DUE TO SHOVING MOVEMENT, ABSENCE OF MAN ON OR AT LEADING END OF MOVEMENT.  DERAILED 1 RAIL",CAR. NO HAZMAT RELEASED.,35.187282,-101.833263
UP,0220TO001,20,2,2,6,50,AM,12,0,FORT WORTH,48,48,1.0,1.0,2,E,129,1,2.0,1,0,H310,2.0,1,2,154469,48C439,0,0,,,1,5,2020,TARRANT,439,"YFW31-02 KICKED CAR OLNX718479 INTO TRACK 40, USING THE UP1898 PLUS 2. AFTER THE CAR MADE A JOINT, C","REW PULLED OUT ONTO 32 LEAD AND LINED BACK INTO TRACK 35. THEY STARTED SHOVING DOWN THE LEAD, TOWARD",TRACK 35. THE CAR KICKED INTO 40 TRACK (OLNX718479) ROLLED OUT INTO THE SIDE OF THE CARS ON 32 LEAD,32.720824,-97.381089
UP,0220TO001,20,2,2,6,50,AM,12,0,FORT WORTH,48,48,1.0,1.0,0,E,1000,1,2.0,10,10,H310,2.0,1,2,154469,48C439,0,0,8.0,8.0,3,5,2020,TARRANT,439,"YFW31-02 KICKED CAR OLNX718479 INTO TRACK 40, USING THE UP1898 PLUS 2. AFTER THE CAR MADE A JOINT, C","REW PULLED OUT ONTO 32 LEAD AND LINED BACK INTO TRACK 35. THEY STARTED SHOVING DOWN THE LEAD, TOWARD",TRACK 35. THE CAR KICKED INTO 40 TRACK (OLNX718479) ROLLED OUT INTO THE SIDE OF THE CARS ON 32 LEAD,32.720824,-97.381089
UP,1020SX001,20,10,1,3,24,AM,1,0,QUEMADO,48,59,4.0,1.0,0,,0,4,1.0,0,0,T220,1.0,4,27,750263,48C271,0,0,,,1,5,2020,KINNEY,271,"BNSF TRAIN QCWEGJ-30, TRAVELING WEST INTO SIDING AT ANACACHO TO MEET TRAIN 2MEGLI-30, DERAILED 11 CA",RS.  DERAILMENT AND DAMAGE WAS TO BOTH MAINLINE AND SIDING.  INCIDENT OCCURRED WITH TRAIN TRAVELING,"AT 29MPH, IN DYNAMIC BRAKING LV2.  NO CHEMICAL RELEASE, NO INJURIES.  BNSF EQUIPMENT DAMAGE = $866,5",29.197261,-100.296086
UP,1020SX027,20,10,25,7,54,PM,1,0,SMITHVILLE,48,82,3.0,2.0,7,E,10083,3,1.0,74,11,H504,1.0,3,7,24158,48C021,0,0,1.0,1.0,1,5,2020,BASTROP,21,"TRAIN MHNSA-23, LEAD UNIT UP8412, DERAILED TWO CARS AT HIGHWAY 95 AT SMITHVILLE.",,,30.007146,-97.162918
UP,1020SX031,20,10,27,11,40,PM,1,0,KATY,48,52,4.0,1.0,2,E,2785,1,4.0,0,105,T309,4.0,1,2,57568,48C201,0,0,4.0,4.0,1,5,2020,HARRIS,201,"TRAIN RKCDTQ-27, DERAILED 10 CARS ON THE WYE SWITCH WHILE PULLING OUT OF THE CEMEX PLANT.  INDUSTRY",MAINTAINS TRACK,,29.789423,-95.85633
UP,0820TO015,20,8,17,3,10,PM,1,0,EL PASO,48,93,2.0,2.0,6,E,10623,1,2.0,69,45,M405,2.0,1,6,156415,48C141,0,0,8.0,8.0,1,5,2020,EL PASO,141,YLP57-17 WAS PULLING TOWARDS THE RIVER YARD VIA THE WEST LEG OF THE WYE WHEN THEY DERAILED 6 RAILCAR,S.,,31.769644,-106.46901
UP,1020TO001,20,10,3,2,40,AM,12,0,FORT WORTH,48,63,4.0,1.0,5,E,3374,1,2.0,19,10,H318,2.0,1,5,79076,48C439,0,0,3.0,3.0,3,5,2020,TARRANT,439,THE YFW31-02 WAS SWITCHING A CUT OF CARS ON 32 LEAD. THE CREW WAS KICKING CARS AND HAD KICKED THE TT,JX82707 INTO 40 BOWL. THEY THEN PROCEEDED TO KICK A CAR INTO 41 BOWL. AS THEY PULLED BACK EAST OUT O,"F 41 BOWL, THE TTJX82707 ROLLED BACK OUT OF 40 BOWL, IMPACTING THE REAR 4 CARS IN THEIR TRAIN AT THE",32.72452,-97.373623
KCS,20102903,20,10,29,7,25,AM,1,2,MAURICEVILLE,48,45,1.0,1.0,39,E,14044,4,1.0,95,60,T207,1.0,4,39,2157130,48C361,0,0,3.0,3.0,1,5,2020,ORANGE,361,CREW TRAVELING NORTH.  TRAIN WENT INTO EMERGENCY.  CONDUCTOR FOUND SEVERAL CARS DERAILED & LYING ON,THEIR SIDE.  HAZARDOUS MATERIAL RELEASED - ETHANOLAMINE/STCC=4935665.  UTLX647138 RELEASED 18660 GAL,LONS + UTLX647575 RELEASED 15120 GALLONS.  MP 750.2 BEAUMONT SUBDIVISION,30.202878,-93.867046
BNSF,RD0920107,20,9,5,10,50,PM,12,0,SOMERVILLE,48,88,4.0,2.0,3,E,1100,1,2.0,8,4,H307,2.0,1,3,17750,48C051,0,0,3.0,3.0,1,5,2020,BURLESON,51,R-RDV0361-05 IMPACTED A RAILCAR WHILE SHOVING YARD TRACK 4111 DUE TO FAILURE TO CONTROL SHOVE MOVE.,RESULTED IN DAMAGES TO 5 RAILCARS. NO HAZARDOUS MATERIALS WERE RELEASED.,,30.349494,-96.529804
BNSF,KS0820116,20,8,29,9,20,PM,1,0,PANHANDLE,48,64,4.0,3.0,0,R,6288,5,1.0,38,0,M105,1.0,5,0,797360,48C065,0,0,6.0,6.0,1,5,2020,CARSON,65,Z-WSPLAC7-28 DERAILED 10 RAILCARS WHILE STOPPED ON MAIN 1 TRACK DUE TO EXTREME ENVIRONMENTAL CONDITI,"ONS, WIND VELOCITY.  HIGH WINDS BLEW RAILCARS OFF THE RAILS.  NO HAZARDOUS MATERIALS WERE RELEASED.",,35.271466,-101.591193
UP,1120GC025,20,11,18,6,40,AM,12,0,BEAUMONT,48,50,1.0,1.0,4,E,3107,1,2.0,49,2,H317,2.0,1,4,38246,48C245,0,0,8.0,,3,5,2020,JEFFERSON,245,"THE YBM31R-17 HAD A HOLD OF A CUT OF 51 CARS AD WHILE HUMPING LINES 37-40, THERE WAS A COLLISION (SI",DESWIPE) BETWEEN TWO CARS IN THE BOWL.  ONE IN BOWL TRACK 16 AND THE OTHER IN BOWL TRACK 15.  WHILE,HUMPING THE TWO CARS INTO TRACK 15 THE SWITCHMAN AND FOREMAN CONTINUED TO KEEP HUMPING ONE CAR INTO,30.072902,-94.147132
UP,1120GC033,20,11,23,5,20,PM,1,0,VIDOR,48,66,2.0,1.0,4,E,2900,1,4.0,13,10,T110,4.0,1,4,25433,48C361,0,0,9.0,,1,5,2020,ORANGE,361,"THE YBM60-23 WAS SHOVING A CUT OF 23 CARS INTO TRACK 807 AT OPTIMUS STEEL AT 4 MPH, WITH CONDUCTOR R","IDING THE POINT, PROTECTING THE SHOVE.  CONDUCTOR BEGAN TO HEAR A NOISE AND LOOKED BACK AND SAW A BU",NCH OF DUST KICKED UP IN THE AIR AND RADIOED THE ENGINEER TO STOP THE MOVE.  ONCE THE MOVE WAS STOPP,30.084018,-94.073026
UP,1120HO015,20,11,18,8,50,PM,1,0,HOUSTON,48,61,4.0,2.0,7,E,6841,4,1.0,0,135,H503,1.0,4,7,349552,48C201,0,0,11.0,11.0,1,5,2020,HARRIS,201,"ASPLDR-18, LEAD LOCOMOTIVE UP2591, REPORTED DERAILING CARS FROM THE HEAD END, RIGHT AHEAD OF MID DPU",", AROUND EUREKA JCT. CREW REPORTED THEY WERE COMING UP TO A CREW CHANGE LOCATION AND TRIP OPTIMIZER","WAS COMING IN FAST, SO ENGINEER TOOK CONTROL AND SET AIR.",29.770143,-95.447458
UP,1120HO019,20,11,23,2,56,AM,1,0,HOUSTON,48,64,4.0,1.0,2,R,252,1,2.0,1,1,E09C,2.0,1,2,86924,48C201,0,0,4.0,,1,5,2020,HARRIS,201,"DURING NORMAL HUMPING OPERATIONS, THE DOWX79807 FAILED TO FULLY SEPARATE BETWEEN TWO CUTS OF CARS. T",HE FIRST CUT WAS AN EMPTY TANK (DOWX79807) CAR FOLLOWED BY A LOADED DOUBLE CUT OF TANK CARS (UTLX660,"083, GATX37023). DUE TO THE INADEQUATE SEPARATIONGOING THROUGH THE CUT LIGHT THE HUMP COMPUTER RECOG",29.798926,-95.287612
BNSF,RD0820210,20,8,31,5,5,PM,7,0,MULESHOE,48,94,3.0,1.0,42,E,3759,4,1.0,0,72,M308,1.0,4,42,57803,48C017,0,0,8.0,8.0,1,5,2020,BAILEY,17,TRACTOR TRAILER OPERATOR STOPPED IN THE FOUL OF THE CROSSING AND WAS STRUCK BY TRAIN.,,,34.212522,-102.70151
BNSF,RD0820105,20,8,4,6,30,AM,1,0,GAINESVILLE,48,85,1.0,1.0,8,E,0,1,2.0,0,0,H307,2.0,1,8,20000,48C097,0,0,,,1,5,2020,COOKE,97,L-RDV7551-04 DERAILED 1 LOCOMOTIVE IN YARD TRACK 6597.  AFTER SHOVING THROUGH AND IMPROPERLY LINED S,"WITCH, SUBSEQUENTLY DERAILED UPON CHANGING DIRECTIONS.  CAUSE IS FAILURE TO COMPLY WITH CONTROL SHOV",E MOVE IN TURN RUNNING THROUGH AN IMPROPERLY LINEDSWITCH.  500 GALLONS OF FUEL RELEASED.11/17/20201.,33.626266,-97.140879
BNSF,KS0820115,20,8,29,8,46,PM,9,0,AMARILLO,48,64,3.0,3.0,0,E,178,5,1.0,0,5,M105,1.0,5,15,262306,48C375,0,0,,,1,5,2020,POTTER,375,V-WELBEL1-29 IMPACTED A CUT OF RAILCARS THAT HAD BEEN BLOWN OUT OF YARD TRACK 1415 WHILE TRAVERSING,"MAIN 1 TRACK.  CAUSE WAS EXTREME ENVIRONMENTAL CONDITIONS, WIND VELOCITY.  RESULTED IN 5 RAILCARS DE",RAILED.  NO HAZARDOUS MATERIALS WERE RELEASED.,35.226757,-101.738966
BNSF,KS0820115,20,8,29,8,46,PM,9,0,AMARILLO,48,64,3.0,3.0,15,E,5751,5,1.0,80,0,M105,1.0,5,15,262306,48C375,0,0,9.0,9.0,3,5,2020,POTTER,375,V-WELBEL1-29 IMPACTED A CUT OF RAILCARS THAT HAD BEEN BLOWN OUT OF YARD TRACK 1415 WHILE TRAVERSING,"MAIN 1 TRACK.  CAUSE WAS EXTREME ENVIRONMENTAL CONDITIONS, WIND VELOCITY.  RESULTED IN 5 RAILCARS DE",RAILED.  NO HAZARDOUS MATERIALS WERE RELEASED.,35.226757,-101.738966
UP,0820SX009,20,8,13,3,4,PM,1,0,NEW BRAUNFELS,48,101,2.0,1.0,27,E,15673,3,1.0,110,0,T308,1.0,3,27,1806931,48C091,0,0,9.0,9.0,1,5,2020,COMAL,91,"GSHN3E-10 WAS TRAVELING SOUTHBOUND ON AUSTIN SUB NO 2 MAIN, AND DERAILED 24 CARS AT MP 229.93, DUE T",O WORN/BROKEN SWITCH POINTS.,,29.672972,-98.167564
UP,0920SX025,20,9,18,4,30,PM,12,0,SAN ANTONIO,48,88,2.0,1.0,9,R,2166,1,2.0,17,0,H513,2.0,1,9,20541,48C029,0,0,,,1,5,2020,BEXAR,29,YEY55-18 PULLED OUT OF TRACK 11 AT THE EAST END OF EAST YARD WITH 1 LOCOMOTIVE AND 17 LOADED CARS.,"THEY WERE GOING TO PULL OUT OF TRACK 11 AND MAKE SWITCH MOVES.  THERE WAS NO AIR ON THE CARS, SO ONL","Y THE ENGINE BRAKES  COUL BE USED TO STOP.  WHEN THE YEY55 STARTED PULLING EAST, THE ENGINEER STATED",29.435089,-98.451948
UP,0920SX025,20,9,18,4,30,PM,12,0,SAN ANTONIO,48,88,2.0,1.0,6,E,1848,1,2.0,12,8,H513,2.0,1,9,20541,48C029,0,0,1.0,1.0,3,5,2020,BEXAR,29,YEY55-18 PULLED OUT OF TRACK 11 AT THE EAST END OF EAST YARD WITH 1 LOCOMOTIVE AND 17 LOADED CARS.,"THEY WERE GOING TO PULL OUT OF TRACK 11 AND MAKE SWITCH MOVES.  THERE WAS NO AIR ON THE CARS, SO ONL","Y THE ENGINE BRAKES  COUL BE USED TO STOP.  WHEN THE YEY55 STARTED PULLING EAST, THE ENGINEER STATED",29.435089,-98.451948
UP,0920TO038,20,9,27,6,10,PM,12,0,FORT WORTH,48,91,3.0,1.0,4,E,36,1,2.0,0,1,H310,2.0,1,4,30378,48C439,0,0,2.0,2.0,1,5,2020,TARRANT,439,YFW25-27 KICKED 2 CAR INTO BOWL 19.  THE HELPER WATCHED THE CARS MAKE CONTACT WITH OTHER CARS IN THE,"TRACK.  AFTER WATCHIING THE CARS FOR ALMOST 60 SECONDS AND THEY DIDN'T MOVE, HE WALKED TO THE 18/19","SWITCH.  AFTER LINING THE SWITCH, HE LOOKED AT THE CARS AGAIN, NOT SEEING THEM MOVE, AND TOLD THE F",32.724304,-97.375761
TXNW,BNSF201130,20,11,30,1,30,AM,1,0,DUMAS,48,28,4.0,1.0,0,,0,1,2.0,0,0,H312,2.0,1,6,34340,48C341,0,0,,,1,5,2020,MOORE,341,G-ETTCPA9-29 DERAILED 1 LOCOMOTIVE AND 2 RAILCARS WHILE SHOVING YARD TRACK 4505 DUE TO PASSED COUPLE,RS OTHER THAT AUTOMATED CLASSIFICATION. NO HAZARDOUS MATERIALS WERE RELEASED.,,36.023582,-101.996023
UP,0420TO006,20,4,4,4,40,PM,1,0,FORT WORTH,48,47,2.0,2.0,7,R,3335,1,2.0,24,2,T111,2.0,1,7,102307,48C439,0,0,2.0,2.0,1,5,2020,TARRANT,439,"YFW21-04 HAD HOLD OF 26 CARS AND THEY WERE KICKING TOWARD 33 TRACK WHEN THE MOVEMENT WAS STOPPED, DU",E TO CARS THAT WERE NOTICED DERAILING UNDER THE BOWL TOWER ON THE MIDDLE LEAD.  UPON INVESTIGATION I,T WAS FOUND THAT 5 LOADED PIPE CARS HAD DERAILED.  NO INJURIES OR HAZARDOUS MATERIALS INVOLVED.,32.726008,-97.369473
UP,0420TO011,20,4,8,6,10,AM,1,0,FORT WORTH,48,73,1.0,2.0,3,E,0,1,2.0,0,0,M507,2.0,1,3,56569,48C439,0,0,10.0,10.0,1,5,2020,TARRANT,439,MANAGER WAS NOTIFIED THE MDAFW-07 POWER WAS ON THE GROUND ON THE SERVICE TRACK LEAD AT THE DERAIL.,"THE LEAD UNIT UP7813, HAD 5 AXLES ON THE GROUND.  CREW SAID THE DERAIL WAS DOWN WHEN THEY PULLED IN","AND WHEN THE CONDUCTOR GOT ON THE REAR MOTOR AFTER LINING THE 105 SWITCH BACK, THEY WENT WESTWARD AN",32.728907,-97.367135
UP,0420TO022,20,4,16,1,10,PM,1,0,BIG SPRING,48,74,2.0,1.0,5,E,5284,2,2.0,18,90,T101,2.0,2,5,292535,48C227,0,0,6.0,6.0,1,5,2020,HOWARD,227,"MWCBS-13 DERAILED 5 CARS ON THE LEAD TRACK, WHILE SHOVING WEST BOUND AT 5 MPH INTO TRACK 3.  TBOX641","110 CLIMBED NORTH RAIL OF LEAD.  NO RELEASES, NO INJURIES.",,32.257627,-101.471503
UP,0220ST017,20,2,15,1,55,PM,7,0,VAN HORN,48,65,2.0,1.0,40,E,5553,5,1.0,125,0,M303,1.0,5,40,22065,48C109,1,0,7.0,7.0,1,5,2020,CULBERSON,109,"ILXDIB-12, LEAD UNIT UP8236, STRUCK A TRACTOR TRAILER CROSSING TRACKS.",,,31.059135,-104.608664
AWRR,200418001,20,4,18,9,31,PM,1,0,MCNEIL,48,60,4.0,1.0,8,E,3930,3,1.0,30,0,T402,1.0,3,8,29548,48C453,0,0,3.0,3.0,1,5,2020,TRAVIS,453,"AMENDED   ON 6.16.2020 -ON APRIL, 18, 2020 THE AWRR JOB 241 JOB WAS TRAVELING OVER THE UNION PACIFIC","INTER-LOCKER AT (MP 71.02 AWRR)  165.99 UP -IN THE CENTRAL SUBDIVISION, WHEN THE LEAD LOCOMOTIVE(HL",CX 8161) DERAILED OFF THE INTER-LOCKER. UPON INVESTIGATION IT WAS DISCOVERED THAT A PIECE OF STEEL W,30.453177,-97.720758
UP,1220TO026,20,12,21,11,36,PM,12,0,FORT WORTH,48,55,4.0,2.0,2,E,8774,1,2.0,61,31,H307,2.0,1,10,12039,48C439,0,0,,,3,5,2020,TARRANT,439,"YFW22R-21 WAS TO COME OUT OF TRACK 105, HAND THE #3 SWITCH TO LINE INTO THE LONG SIDE AND HEAD TO TR","ACK 102. IN THE PROCESS OF SHOVING OUT OF TRACK 105 AT 10MPH, THE OPERATOR WAS NOT PROPERLY PROTECTI",NG THE SHOVE AND SIDESWIPED THE CARS IN TRACK 215. THIS WAS 5 LOCOMOTIVES PAST THE #3 SWITCH. THE RC,32.718026,-97.389014
AWRR,200319006,20,3,19,7,0,PM,1,0,BURNET,48,74,2.0,1.0,5,E,12603,3,1.0,97,11,E85C,1.0,3,5,84300,48C053,0,0,11.0,11.0,1,5,2020,BURNET,53,ON 3-19-20 AT APPROXIMATELY 19000  THE AWRR 207 JOB WAS IN THE PROCESS OF SHOVING THEIR TRAIN CONSIS,"T IN THE SUMMIT SIDING, THE THE TRAIN WENT INTO EMERGENCY APPLICATION. UPON INSPECTING THE CONSIST I",T WAS DISCOVERED THAT A HOPPER CAR FULL OF AGGREGATE MATERIALS HAD DUMPED ALL OF ITS MATERIALS ON TH,30.74969,-98.14844
CSX,193416,20,10,22,7,36,PM,4,0,RIVERDALE,17,73,3.0,1.0,6,R,0,1,2.0,18,4,H306,2.0,1,6,36290,17C031,0,0,3.0,3.0,1,4,2020,COOK,31,"WHILE SWITCHING ON THE WEST END OF B12, Y29522 COUPLED TWO EMPTY FLAT CARS TO THE WEST END OF THE TR","ACK AND SHOVED APPROXIMATELY 3 CAR LENGTHS WITHOUT PROTECTION, SHOVING THE TRACK OUT AT THE EAST END",AND SIDE SWIPING THE Y22922 DEPARTING OUT OF B13 TO EAST CHICAGO.,41.649836,-87.634368
CSX,193416,20,10,22,7,36,PM,4,0,RIVERDALE,17,73,3.0,1.0,4,R,0,1,2.0,9,18,H306,2.0,1,6,36290,17C031,0,0,3.0,,3,4,2020,COOK,31,"WHILE SWITCHING ON THE WEST END OF B12, Y29522 COUPLED TWO EMPTY FLAT CARS TO THE WEST END OF THE TR","ACK AND SHOVED APPROXIMATELY 3 CAR LENGTHS WITHOUT PROTECTION, SHOVING THE TRACK OUT AT THE EAST END",AND SIDE SWIPING THE Y22922 DEPARTING OUT OF B13 TO EAST CHICAGO.,41.649836,-87.634368
UP,0720PR023,20,7,26,11,30,PM,12,0,NORTHLAKE,17,74,4.0,3.0,0,R,301,1,2.0,0,5,H302,2.0,1,5,45518,17C031,0,0,,,1,4,2020,COOK,31,"YPR32R-26, WHILE KICKING CARS, KICKED A CUT OF 5 CARS INTO TRACK 228, FOLLOWED BY A CUT OF 2 CARS IN","TO 225 AND THEN A CUT OF CARS INTO TRACK 227.  WHILE THE CARS WERE ROLLING IN TRACK 227, THE CUT STR",UCK THE CUT PREVIOUSLY KICKED INTO TRACK 228.  NO DERAILMENT OR TRACK DAMAGE.,41.925965,-87.915365
